date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:08:55	522/522	---M-Z	200	added ('OK')	text/plain	date:Thu,%2016%20Oct%202025%2007:04:06%20GMT	https://www.chennaieventmanagementservice.com/robots.txt		(from )
17:08:55	76052/76052	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Dec%202025%2011:38:55%20GMT	https://www.chennaieventmanagementservice.com/	C:/My%20Web%20Sites/Event/www.chennaieventmanagementservice.com/index.html	(from )
17:08:55	2957/2957	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Sep%202025%2010:08:03%20GMT	https://www.chennaieventmanagementservice.com/assets/images/home/favicon.png	C:/My%20Web%20Sites/Event/www.chennaieventmanagementservice.com/assets/images/home/favicon.png	(from https://www.chennaieventmanagementservice.com/)
17:08:56	231917/231917	---M-Z	200	added ('OK')	text/css	date:Thu,%2011%20Sep%202025%2008:30:27%20GMT	https://www.chennaieventmanagementservice.com/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/Event/www.chennaieventmanagementservice.com/assets/css/bootstrap.min.css	(from https://www.chennaieventmanagementservice.com/)
17:08:56	18448/18448	---M-Z	200	added ('OK')	text/css	date:Thu,%2011%20Sep%202025%2008:30:27%20GMT	https://www.chennaieventmanagementservice.com/assets/css/swiper.min.css	C:/My%20Web%20Sites/Event/www.chennaieventmanagementservice.com/assets/css/swiper.min.css	(from https://www.chennaieventmanagementservice.com/)
17:08:57	26053/26053	---M-Z	200	added ('OK')	text/css	date:Thu,%2011%20Sep%202025%2008:30:27%20GMT	https://www.chennaieventmanagementservice.com/assets/css/aos.css	C:/My%20Web%20Sites/Event/www.chennaieventmanagementservice.com/assets/css/aos.css	(from https://www.chennaieventmanagementservice.com/)
17:08:57	8015/8015	---M-Z	200	added ('OK')	text/css	date:Tue,%2023%20Sep%202025%2006:36:36%20GMT	https://www.chennaieventmanagementservice.com/assets/css/main.css	C:/My%20Web%20Sites/Event/www.chennaieventmanagementservice.com/assets/css/main.css	(from https://www.chennaieventmanagementservice.com/)
17:08:58	21166/21166	---M-Z	200	added ('OK')	text/css	date:Fri,%2024%20Oct%202025%2007:31:13%20GMT	https://www.chennaieventmanagementservice.com/assets/css/style.css	C:/My%20Web%20Sites/Event/www.chennaieventmanagementservice.com/assets/css/style.css	(from https://www.chennaieventmanagementservice.com/)
17:08:58	5194/5194	---M-Z	200	added ('OK')	text/css	date:Thu,%2025%20Sep%202025%2004:57:18%20GMT	https://www.chennaieventmanagementservice.com/assets/css/custom.css	C:/My%20Web%20Sites/Event/www.chennaieventmanagementservice.com/assets/css/custom.css	(from https://www.chennaieventmanagementservice.com/)
17:08:59	23847/23847	---M-Z	200	added ('OK')	text/css	date:Mon,%2022%20Sep%202025%2009:21:28%20GMT	https://www.chennaieventmanagementservice.com/assets/css/responsive.css	C:/My%20Web%20Sites/Event/www.chennaieventmanagementservice.com/assets/css/responsive.css	(from https://www.chennaieventmanagementservice.com/)
